,Total,Unwtd Total,16-24 (a),25-34 (b),35-44 (c),45-54 (d),55-64 (e),65+ (f),Male (g),Female (h),Internet users (i),Non/ rare internet users (CAN'T) (j),Use the internet for  digital government services (DO) (k),Use the internet but do not use digital government services (CAN BUT DON'T) (l),Online for any services at G2 (m),Online for any services at G3 (n),Online for any services at G2 but not G3 (n),,,,,,,,,,
Base,1298,1298,208,208,234,208,182,260,623,675,1064,234,697,367,667,592,106,,,,,,,,,,
Unweighted Base,1298,1298,172,214,227,212,213,260,633,665,990,308,656,334,631,554,102,,,,,,,,,,
Scotland,8%,8%,6%,10%,9%,6%,12%,8%,10%,7%,7%,14%,7%,8%,6%,7%,7%,,,,,,,,,,
England,84%,83%,88%,82%,87%,87%,77%,83%,82%,86%,87%,72%,87%,86%,87%,88%,82%,,,,,,,,,,
Wales,5%,5%,4%,5%,2%,4%,8%,7%,5%,5%,3%,14%,2%,4%,3%,3%,2%,,,,,,,,,,
NI,3%,4%,3%,4%,3%,3%,3%,2%,3%,3%,3%,0%,4%,3%,4%,3%,9%,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ6a. Working Status,,,,,,,,,,,,,,,,,,,,,,,,,,,
All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AGE,,,,,,GENDER,,INTERNET USAGE,,INTERNET USERS OF GOVERNMENT SERVICES,,,,,,,,,,,,,,
,Total,Unwtd Total,16-24 (a),25-34 (b),35-44 (c),45-54 (d),55-64 (e),65+ (f),Male (g),Female (h),Internet users (i),Non/ rare internet users (CAN'T) (j),Use the internet for  digital government services (DO) (k),Use the internet but do not use digital government services (CAN BUT DON'T) (l),Online for any services at G2 (m),Online for any services at G3 (n),Online for any services at G2 but not G3 (n),,,,,,,,,,
Base,1298,1298,208,208,234,208,182,260,623,675,1064,234,697,367,667,592,106,,,,,,,,,,
Unweighted Base,1298,1298,172,214,227,212,213,260,633,665,990,308,656,334,631,554,102,,,,,,,,,,
Working full time,40%,37%,38%,60%,57%,55%,32%,5%,51%,30%,46%,15%,45%,46%,46%,46%,43%,,,,,,,,,,
Working Part time,20%,16%,30%,13%,27%,29%,17%,7%,11%,28%,21%,14%,21%,22%,21%,21%,21%,,,,,,,,,,
Full Time Student,3%,4%,17%,2%,0%,0%,0%,0%,3%,4%,4%,1%,4%,3%,4%,4%,5%,,,,,,,,,,
Not working - unemplyed/ claiming benefit,7%,7%,10%,14%,8%,7%,4%,1%,7%,7%,6%,14%,5%,7%,5%,4%,10%,,,,,,,,,,
Not working - looking after children,4%,5%,5%,9%,6%,4%,1%,0%,0%,7%,5%,1%,4%,5%,4%,4%,4%,,,,,,,,,,
Retired - aged under 64,6%,7%,0%,0%,0%,2%,38%,1%,7%,6%,5%,9%,6%,3%,6%,7%,3%,,,,,,,,,,
Retired - aged 64+,18%,19%,0%,0%,0%,0%,6%,86%,20%,16%,13%,43%,13%,11%,12%,14%,12%,,,,,,,,,,
On long-term sick leave,1%,3%,0%,1%,1%,1%,2%,0%,1%,1%,1%,3%,0%,1%,1%,0%,1%,,,,,,,,,,
Other,1%,2%,2%,1%,1%,1%,1%,0%,0%,2%,1%,0%,1%,2%,1%,1%,2%,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Internet user,,,,,,,,,,,,,,,,,,,,,,,,,,,
All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AGE,,,,,,GENDER,,INTERNET USAGE,,INTERNET USERS OF GOVERNMENT SERVICES,,,,,,,,,,,,,,
,Total,Unwtd Total,16-24 (a),25-34 (b),35-44 (c),45-54 (d),55-64 (e),65+ (f),Male (g),Female (h),Internet users (i),Non/ rare internet users (CAN'T) (j),Use the internet for  digital government services (DO) (k),Use the internet but do not use digital government services (CAN BUT DON'T) (l),Online for any services at G2 (m),Online for any services at G3 (n),Online for any services at G2 but not G3 (n),,,,,,,,,,
Base,1298,1298,208,208,234,208,182,260,623,675,1064,234,697,367,667,592,106,,,,,,,,,,
Unweighted Base,1298,1298,172,214,227,212,213,260,633,665,990,308,656,334,631,554,102,,,,,,,,,,
Internet users,82%,76%,97%,97%,92%,80%,70%,59%,84%,80%,100%,0%,100%,100%,100%,100%,100%,,,,,,,,,,
Non/ rare internet users (CAN'T),18%,24%,3%,3%,8%,20%,30%,41%,16%,20%,0%,100%,0%,0%,0%,0%,0%,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ1. Occupation,,,,,,,,,,,,,,,,,,,,,,,,,,,
All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AGE,,,,,,GENDER,,INTERNET USAGE,,INTERNET USERS OF GOVERNMENT SERVICES,,,,,,,,,,,,,,
,Total,Unwtd Total,16-24 (a),25-34 (b),35-44 (c),45-54 (d),55-64 (e),65+ (f),Male (g),Female (h),Internet users (i),Non/ rare internet users (CAN'T) (j),Use the internet for  digital government services (DO) (k),Use the internet but do not use digital government services (CAN BUT DON'T) (l),Online for any services at G2 (m),Online for any services at G3 (n),Online for any services at G2 but not G3 (n),,,,,,,,,,
Base,1298,1298,208,208,234,208,182,260,623,675,1064,234,697,367,667,592,106,,,,,,,,,,
Unweighted Base,1298,1298,172,214,227,212,213,260,633,665,990,308,656,334,631,554,102,,,,,,,,,,
Advertising/ Marketing/ Market research,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,
Public relations,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,
Government department/ agency,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,
Web design / content provider,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,
Banking,2%,2%,3%,2%,1%,2%,3%,2%,2%,2%,2%,1%,2%,2%,2%,2%,5%,,,,,,,,,,
Retail,6%,6%,6%,6%,11%,7%,8%,1%,5%,7%,7%,2%,7%,9%,6%,7%,6%,,,,,,,,,,
None of these,92%,93%,91%,93%,88%,91%,90%,98%,93%,92%,91%,97%,92%,90%,92%,92%,90%,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,
dAge. Age,,,,,,,,,,,,,,,,,,,,,,,,,,,
All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AGE,,,,,,GENDER,,INTERNET USAGE,,INTERNET USERS OF GOVERNMENT SERVICES,,,,,,,,,,,,,,
,Total,Unwtd Total,16-24 (a),25-34 (b),35-44 (c),45-54 (d),55-64 (e),65+ (f),Male (g),Female (h),Internet users (i),Non/ rare internet users (CAN'T) (j),Use the internet for  digital government services (DO) (k),Use the internet but do not use digital government services (CAN BUT DON'T) (l),Online for any services at G2 (m),Online for any services at G3 (n),Online for any services at G2 but not G3 (n),,,,,,,,,,
Base,1298,1298,208,208,234,208,182,260,623,675,1064,234,697,367,667,592,106,,,,,,,,,,
Unweighted Base,1298,1298,172,214,227,212,213,260,633,665,990,308,656,334,631,554,102,,,,,,,,,,
15 and under,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,
16-24,16%,13%,100%,0%,0%,0%,0%,0%,16%,16%,19%,3%,17%,22%,18%,16%,24%,,,,,,,,,,
25-34,16%,17%,0%,100%,0%,0%,0%,0%,14%,18%,19%,3%,19%,20%,19%,18%,24%,,,,,,,,,,
35-44,18%,18%,0%,0%,100%,0%,0%,0%,17%,19%,20%,8%,19%,22%,20%,20%,17%,,,,,,,,,,
45-54,16%,16%,0%,0%,0%,100%,0%,0%,17%,16%,16%,18%,17%,14%,17%,18%,9%,,,,,,,,,,
55-64,14%,16%,0%,0%,0%,0%,100%,0%,16%,12%,12%,24%,13%,10%,13%,12%,16%,,,,,,,,,,
65 and over,20%,20%,0%,0%,0%,0%,0%,100%,21%,19%,15%,45%,16%,13%,14%,17%,10%,,,,,,,,,,
Mean score,45.89,46.93,21.51,29.89,39.82,49.54,59.68,71.07,47.02,44.84,42.67,60.56,43.63,40.85,43.25,44.16,40.64,,,,,,,,,,
Standard deviation,17.6,17.49,2.17,2.82,2.84,2.86,2.98,5.07,17.46,17.67,16.47,14.95,16.58,16.1,16.39,16.54,16.59,,,,,,,,,,
Standard error,0.49,0.49,0.17,0.19,0.19,0.2,0.2,0.31,0.69,0.69,0.52,0.85,0.65,0.88,0.65,0.7,1.64,,,,,,,,,,
  ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ2. Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,
All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AGE,,,,,,GENDER,,INTERNET USAGE,,INTERNET USERS OF GOVERNMENT SERVICES,,,,,,,,,,,,,,
,Total,Unwtd Total,16-24 (a),25-34 (b),35-44 (c),45-54 (d),55-64 (e),65+ (f),Male (g),Female (h),Internet users (i),Non/ rare internet users (CAN'T) (j),Use the internet for  digital government services (DO) (k),Use the internet but do not use digital government services (CAN BUT DON'T) (l),Online for any services at G2 (m),Online for any services at G3 (n),Online for any services at G2 but not G3 (n),,,,,,,,,,
Base,1298,1298,208,208,234,208,182,260,623,675,1064,234,697,367,667,592,106,,,,,,,,,,
Unweighted Base,1298,1298,172,214,227,212,213,260,633,665,990,308,656,334,631,554,102,,,,,,,,,,
Male,48%,49%,47%,41%,45%,50%,54%,51%,100%,0%,49%,43%,52%,44%,52%,50%,61%,,,,,,,,,,
Female,52%,51%,53%,59%,55%,50%,46%,49%,0%,100%,51%,57%,49%,56%,48%,50%,40%,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,
dAgeGender. Age/ Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,
All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AGE,,,,,,GENDER,,INTERNET USAGE,,INTERNET USERS OF GOVERNMENT SERVICES,,,,,,,,,,,,,,
,Total,Unwtd Total,16-24 (a),25-34 (b),35-44 (c),45-54 (d),55-64 (e),65+ (f),Male (g),Female (h),Internet users (i),Non/ rare internet users (CAN'T) (j),Use the internet for  digital government services (DO) (k),Use the internet but do not use digital government services (CAN BUT DON'T) (l),Online for any services at G2 (m),Online for any services at G3 (n),Online for any services at G2 but not G3 (n),,,,,,,,,,
Base,1298,1298,208,208,234,208,182,260,623,675,1064,234,697,367,667,592,106,,,,,,,,,,
Unweighted Base,1298,1298,172,214,227,212,213,260,633,665,990,308,656,334,631,554,102,,,,,,,,,,
Women aged 16-24,9%,7%,53%,0%,0%,0%,0%,0%,0%,16%,10%,2%,8%,13%,8%,8%,9%,,,,,,,,,,
Men aged 16-24,8%,6%,47%,0%,0%,0%,0%,0%,16%,0%,9%,1%,9%,8%,10%,8%,15%,,,,,,,,,,
Women 25-34,9%,10%,0%,59%,0%,0%,0%,0%,0%,18%,11%,1%,11%,12%,11%,11%,10%,,,,,,,,,,
Men 25-34,7%,7%,0%,41%,0%,0%,0%,0%,14%,0%,8%,2%,8%,8%,8%,7%,13%,,,,,,,,,,
Women 35-44,10%,9%,0%,0%,55%,0%,0%,0%,0%,19%,12%,2%,10%,15%,10%,10%,6%,,,,,,,,,,
Men 35-44,8%,8%,0%,0%,45%,0%,0%,0%,17%,0%,9%,6%,9%,7%,10%,9%,11%,,,,,,,,,,
Women 45-54,8%,8%,0%,0%,0%,50%,0%,0%,0%,16%,8%,9%,9%,6%,9%,10%,6%,,,,,,,,,,
Men 45-54,8%,8%,0%,0%,0%,50%,0%,0%,17%,0%,8%,9%,7%,9%,8%,8%,3%,,,,,,,,,,
Women 55-64,6%,8%,0%,0%,0%,0%,46%,0%,0%,12%,5%,14%,5%,5%,5%,4%,7%,,,,,,,,,,
Men 55-64,8%,9%,0%,0%,0%,0%,54%,0%,16%,0%,7%,9%,8%,5%,9%,8%,10%,,,,,,,,,,
Women 65 and over,10%,10%,0%,0%,0%,0%,0%,49%,0%,19%,6%,29%,6%,5%,5%,7%,1%,,,,,,,,,,
Men 65 and over,10%,10%,0%,0%,0%,0%,0%,51%,21%,0%,9%,16%,10%,8%,9%,10%,9%,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ4a. Region,,,,,,,,,,,,,,,,,,,,,,,,,,,
All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AGE,,,,,,GENDER,,INTERNET USAGE,,INTERNET USERS OF GOVERNMENT SERVICES,,,,,,,,,,,,,,
,Total,Unwtd Total,16-24 (a),25-34 (b),35-44 (c),45-54 (d),55-64 (e),65+ (f),Male (g),Female (h),Internet users (i),Non/ rare internet users (CAN'T) (j),Use the internet for  digital government services (DO) (k),Use the internet but do not use digital government services (CAN BUT DON'T) (l),Online for any services at G2 (m),Online for any services at G3 (n),Online for any services at G2 but not G3 (n),,,,,,,,,,
Base,1298,1298,208,208,234,208,182,260,623,675,1064,234,697,367,667,592,106,,,,,,,,,,
Unweighted Base,1298,1298,172,214,227,212,213,260,633,665,990,308,656,334,631,554,102,,,,,,,,,,
Northern Scotland,2%,2%,2%,4%,2%,1%,1%,2%,3%,1%,2%,1%,2%,2%,2%,2%,3%,,,,,,,,,,
Central Scotland,5%,6%,2%,5%,6%,5%,11%,5%,6%,5%,4%,12%,4%,4%,4%,4%,2%,,,,,,,,,,
Border Scotland,1%,1%,2%,1%,1%,0%,1%,2%,1%,1%,1%,0%,1%,2%,1%,1%,2%,,,,,,,,,,
North East,4%,4%,5%,4%,4%,6%,4%,4%,5%,4%,5%,0%,5%,6%,5%,5%,6%,,,,,,,,,,
North West,12%,12%,11%,10%,10%,16%,15%,12%,14%,11%,12%,13%,13%,10%,13%,13%,13%,,,,,,,,,,
Yorkshire & Humberside,9%,8%,9%,11%,10%,9%,7%,5%,8%,9%,10%,0%,11%,9%,11%,11%,9%,,,,,,,,,,
Midlands,15%,15%,16%,15%,18%,10%,12%,17%,14%,16%,15%,14%,15%,17%,14%,14%,16%,,,,,,,,,,
East of England,9%,10%,7%,8%,9%,8%,9%,13%,8%,10%,8%,14%,9%,7%,9%,10%,4%,,,,,,,,,,
South West,8%,7%,8%,8%,9%,8%,6%,6%,8%,7%,9%,1%,9%,9%,9%,9%,9%,,,,,,,,,,
Southern (South East),15%,15%,15%,12%,14%,19%,16%,16%,14%,17%,16%,14%,16%,15%,16%,15%,18%,,,,,,,,,,
London,12%,12%,17%,14%,12%,10%,8%,10%,11%,13%,11%,16%,10%,13%,10%,11%,7%,,,,,,,,,,
Wales,5%,5%,4%,5%,2%,4%,8%,7%,5%,5%,3%,14%,2%,4%,3%,3%,2%,,,,,,,,,,
Northern Ireland,3%,4%,3%,4%,3%,3%,3%,2%,3%,3%,3%,0%,4%,3%,4%,3%,9%,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,
dREGION. Region - Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,
All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AGE,,,,,,GENDER,,INTERNET USAGE,,INTERNET USERS OF GOVERNMENT SERVICES,,,,,,,,,,,,,,
,Total,Unwtd Total,16-24 (a),25-34 (b),35-44 (c),45-54 (d),55-64 (e),65+ (f),Male (g),Female (h),Internet users (i),Non/ rare internet users (CAN'T) (j),Use the internet for  digital government services (DO) (k),Use the internet but do not use digital government services (CAN BUT DON'T) (l),Online for any services at G2 (m),Online for any services at G3 (n),Online for any services at G2 but not G3 (n),,,,,,,,,,
Base,1298,1298,208,208,234,208,182,260,623,675,1064,234,697,367,667,592,106,,,,,,,,,,
Unweighted Base,1298,1298,172,214,227,212,213,260,633,665,990,308,656,334,631,554,102,,,,,,,,,,
Scotland,8%,8%,6%,10%,9%,6%,12%,8%,10%,7%,7%,14%,7%,8%,6%,7%,7%,,,,,,,,,,
England,84%,83%,88%,82%,87%,87%,77%,83%,82%,86%,87%,72%,87%,86%,87%,88%,82%,,,,,,,,,,
Wales,5%,5%,4%,5%,2%,4%,8%,7%,5%,5%,3%,14%,2%,4%,3%,3%,2%,,,,,,,,,,
NI,3%,4%,3%,4%,3%,3%,3%,2%,3%,3%,3%,0%,4%,3%,4%,3%,9%,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ4b. Type of area live in,,,,,,,,,,,,,,,,,,,,,,,,,,,
All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AGE,,,,,,GENDER,,INTERNET USAGE,,INTERNET USERS OF GOVERNMENT SERVICES,,,,,,,,,,,,,,
,Total,Unwtd Total,16-24 (a),25-34 (b),35-44 (c),45-54 (d),55-64 (e),65+ (f),Male (g),Female (h),Internet users (i),Non/ rare internet users (CAN'T) (j),Use the internet for  digital government services (DO) (k),Use the internet but do not use digital government services (CAN BUT DON'T) (l),Online for any services at G2 (m),Online for any services at G3 (n),Online for any services at G2 but not G3 (n),,,,,,,,,,
Base,1298,1298,208,208,234,208,182,260,623,675,1064,234,697,367,667,592,106,,,,,,,,,,
Unweighted Base,1298,1298,172,214,227,212,213,260,633,665,990,308,656,334,631,554,102,,,,,,,,,,
Inner city,12%,12%,17%,23%,13%,9%,3%,5%,11%,12%,13%,5%,12%,16%,12%,12%,13%,,,,,,,,,,
Suburbs of a city,28%,27%,29%,23%,25%,36%,28%,24%,32%,23%,27%,28%,27%,28%,27%,27%,25%,,,,,,,,,,
A town,42%,41%,43%,42%,38%,36%,41%,49%,39%,44%,40%,50%,39%,41%,39%,39%,41%,,,,,,,,,,
Semi-rural (e.g. a village),16%,16%,8%,8%,21%,17%,22%,18%,14%,17%,16%,13%,18%,13%,18%,19%,15%,,,,,,,,,,
Rural,4%,4%,3%,4%,3%,3%,6%,4%,4%,4%,4%,4%,4%,3%,4%,4%,6%,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,
dAREA. Type of area live in - Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,
All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AGE,,,,,,GENDER,,INTERNET USAGE,,INTERNET USERS OF GOVERNMENT SERVICES,,,,,,,,,,,,,,
,Total,Unwtd Total,16-24 (a),25-34 (b),35-44 (c),45-54 (d),55-64 (e),65+ (f),Male (g),Female (h),Internet users (i),Non/ rare internet users (CAN'T) (j),Use the internet for  digital government services (DO) (k),Use the internet but do not use digital government services (CAN BUT DON'T) (l),Online for any services at G2 (m),Online for any services at G3 (n),Online for any services at G2 but not G3 (n),,,,,,,,,,
Base,1298,1298,208,208,234,208,182,260,623,675,1064,234,697,367,667,592,106,,,,,,,,,,
Unweighted Base,1298,1298,172,214,227,212,213,260,633,665,990,308,656,334,631,554,102,,,,,,,,,,
Urban,39%,39%,46%,46%,39%,45%,31%,29%,43%,35%,40%,33%,39%,44%,39%,39%,38%,,,,,,,,,,
Suburban,42%,41%,43%,42%,38%,36%,41%,49%,39%,44%,40%,50%,39%,41%,39%,39%,41%,,,,,,,,,,
Rural,19%,20%,11%,12%,24%,20%,27%,22%,18%,21%,20%,17%,22%,16%,23%,22%,21%,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ5. Marital status,,,,,,,,,,,,,,,,,,,,,,,,,,,
All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AGE,,,,,,GENDER,,INTERNET USAGE,,INTERNET USERS OF GOVERNMENT SERVICES,,,,,,,,,,,,,,
,Total,Unwtd Total,16-24 (a),25-34 (b),35-44 (c),45-54 (d),55-64 (e),65+ (f),Male (g),Female (h),Internet users (i),Non/ rare internet users (CAN'T) (j),Use the internet for  digital government services (DO) (k),Use the internet but do not use digital government services (CAN BUT DON'T) (l),Online for any services at G2 (m),Online for any services at G3 (n),Online for any services at G2 but not G3 (n),,,,,,,,,,
Base,1298,1298,208,208,234,208,182,260,623,675,1064,234,697,367,667,592,106,,,,,,,,,,
Unweighted Base,1298,1298,172,214,227,212,213,260,633,665,990,308,656,334,631,554,102,,,,,,,,,,
Married,51%,51%,13%,48%,60%,63%,57%,64%,51%,52%,54%,38%,56%,51%,56%,56%,57%,,,,,,,,,,
Single,23%,23%,53%,25%,23%,16%,16%,7%,27%,19%,23%,24%,21%,25%,21%,21%,23%,,,,,,,,,,
Living as married /living together,10%,9%,17%,20%,11%,7%,3%,1%,8%,11%,11%,6%,10%,11%,10%,11%,10%,,,,,,,,,,
Divorced/separated,8%,8%,0%,2%,4%,10%,16%,14%,7%,8%,6%,17%,6%,4%,6%,6%,7%,,,,,,,,,,
In a relationship but not living together,5%,4%,17%,5%,3%,3%,2%,0%,5%,5%,5%,2%,4%,7%,4%,4%,5%,,,,,,,,,,
Widowed,4%,5%,0%,0%,0%,2%,6%,14%,2%,6%,2%,13%,2%,2%,2%,2%,0%,,,,,,,,,,
Prefer not to say,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQ6a. Working status,,,,,,,,,,,,,,,,,,,,,,,,,,,
All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AGE,,,,,,GENDER,,INTERNET USAGE,,INTERNET USERS OF GOVERNMENT SERVICES,,,,,,,,,,,,,,
,Total,Unwtd Total,16-24 (a),25-34 (b),35-44 (c),45-54 (d),55-64 (e),65+ (f),Male (g),Female (h),Internet users (i),Non/ rare internet users (CAN'T) (j),Use the internet for  digital government services (DO) (k),Use the internet but do not use digital government services (CAN BUT DON'T) (l),Online for any services at G2 (m),Online for any services at G3 (n),Online for any services at G2 but not G3 (n),,,,,,,,,,
